r;238929384;147003;10175799;11;43
r;254176911;147003;10347448;11;39
r;262044119;147003;10511452;11;41
r;263795669;147003;10587597;11;30
r;297605381;147003;11573883;11;40
r;305608252;147003;11827160;11;34
r;305630239;147003;11827832;11;34
r;306004397;147003;11833738;11;38
r;374224113;147003;14718256;11;25
r;374330974;147003;14723774;11;26
r;402153834;147003;15269265;11;50
r;402105058;147003;15274320;11;50
r;402107030;147003;15349251;11;50
r;402153830;147003;15391219;11;50
r;417032979;147003;15391221;11;34
r;419616982;147003;15391224;11;25
r;419705192;147003;15391233;11;25
r;417033009;147003;15391235;11;34
r;397497582;147003;15391237;11;50
r;419532332;147003;15525336;11;25
r;402272827;147003;15525338;11;50
r;417073;147003;151553;12;46
r;52631119;147003;2578964;18;40
r;52991055;147003;2580064;18;40
r;89967075;147003;3575927;18;41
r;90823649;147003;3576104;18;26
r;288296;147003;73719;19;59
r;288295;147003;147003;19;60
r;11951098;147003;191672;36;41
r;396062172;147003;217817;36;25
r;26463255;147003;223172;36;49
r;3063762;147003;223173;36;302
r;9218316;147003;241794;36;108
r;52636411;147003;243007;36;40
r;3082404;147003;254876;36;66
r;9297181;147003;254877;36;24
r;27043327;147003;254878;36;11
r;35785384;147003;273221;36;40
r;363914307;147003;438949;36;25
r;417935774;147003;15991432;36;25
r;1059208;147003;73719;40;59
r;61455010;147003;56326;71;47
r;13502835;147003;177031;71;30
r;323061556;147003;12617127;200;3
r;323061629;147003;12617131;200;5
r;324030929;147003;12662673;200;4
r;324057049;147003;12663193;200;1
r;324070592;147003;12663509;200;9
r;324078239;147003;12663689;200;1
r;324079665;147003;12663716;200;2
r;324088609;147003;12663893;200;2
r;324122173;147003;12664688;200;8
r;324142722;147003;12665241;200;2
r;324154397;147003;12665536;200;1
r;324176711;147003;12666110;200;4
r;324181619;147003;12666224;200;10
r;324191746;147003;12666500;200;6
r;324213233;147003;12667100;200;1
r;324225154;147003;12667425;200;1
r;324229055;147003;12667523;200;2
r;324232160;147003;12667598;200;1
r;324232371;147003;12667604;200;6
r;324246491;147003;12668004;200;1
r;324272141;147003;12668666;200;1
r;324289988;147003;12669052;200;1
r;324291768;147003;12669087;200;1
r;324308942;147003;12669628;200;2
r;324384335;147003;12671583;200;3
r;324436002;147003;12673128;200;1
r;324437746;147003;12673189;200;1
r;324442185;147003;12673347;200;2
r;324472797;147003;12674262;200;2
r;324473041;147003;12674270;200;2
r;324490562;147003;12674824;200;1
r;324495724;147003;12674948;200;2
r;324512391;147003;12675361;200;2
r;324546255;147003;12676385;200;1
r;324555201;147003;12676560;200;1
r;324559614;147003;12676657;200;2
r;324580291;147003;12677090;200;1
